brand,model,yom,engine_cc,transmission,fuel_type,mileage,town,leasing,air_condition,power_steering,power_mirror,power_window,price,Age,log_engine_cc,price_transformed,town_is_urban
AUDI,A4 1.9 TDI,2001,1900.0,Manual,Diesel,264000.0,Kotte,No Leasing,True,True,True,True,5.0,25,7.549609165154532,1.6094379124341003,True
AUDI,A4 B8,2011,1800.0,Automatic,Petrol,154000.0,Weligama,No Leasing,True,True,True,True,112.0,15,7.495541943884256,4.718498871295094,True
AUDI,A4 RS4 CONVERSION,2012,1800.0,Automatic,Petrol,143000.0,Kegalle,No Leasing,True,True,True,True,140.0,14,7.495541943884256,4.941642422609304,True
AUDI,A4 S LINE,2016,1600.0,Automatic,Petrol,99000.0,Colombo,No Leasing,True,True,True,True,215.0,10,7.3777589082278725,5.3706380281276624,True
AUDI,A4 S LINE,2010,1800.0,Automatic,Petrol,165000.0,Galle,No Leasing,True,True,True,True,102.0,16,7.495541943884256,4.624972813284271,True
AUDI,A5,2018,1400.0,Automatic,Petrol,77000.0,Colombo,No Leasing,True,True,True,True,316.5,8,7.24422751560335,5.757323241584231,True
AUDI,A5,2014,2000.0,Automatic,Petrol,121000.0,Colombo,No Leasing,True,True,True,True,220.0,12,7.600902459542082,5.393627546352362,True
AUDI,A6,2011,2000.0,Automatic,Petrol,154000.0,Nugegoda,No Leasing,True,True,True,True,114.9,15,7.600902459542082,4.74406218485471,False
AUDI,A6,2013,2000.0,Automatic,Petrol,132000.0,Colombo,No Leasing,True,True,True,True,180.0,13,7.600902459542082,5.19295685089021,True
AUDI,A6,2012,2000.0,Automatic,Petrol,143000.0,Nugegoda,No Leasing,True,True,True,True,149.0,14,7.600902459542082,5.003946305945459,False
AUDI,A6,2013,2000.0,Automatic,Diesel,132000.0,Ratnapura,No Leasing,True,True,True,True,180.0,13,7.600902459542082,5.19295685089021,True
AUDI,A6,2001,1900.0,Manual,Diesel,264000.0,Hambantota,No Leasing,True,True,True,True,48.0,25,7.549609165154532,3.871201010907891,True
AUDI,A6,2013,2000.0,Automatic,Petrol,132000.0,Gampaha,No Leasing,True,True,True,True,180.0,13,7.600902459542082,5.19295685089021,True
AUDI,A6,2003,2000.0,Manual,Diesel,242000.0,Colombo,No Leasing,True,True,True,True,48.5,23,7.600902459542082,3.8815637979434374,True
AUDI,A6 S LINE,2010,2000.0,Automatic,Petrol,165000.0,Dehiwala-Mount-Lavinia,No Leasing,True,True,True,True,117.5,16,7.600902459542082,4.7664383335842135,True
AUDI,A6 S LINE,2016,1800.0,Automatic,Petrol,99000.0,Colombo,No Leasing,True,True,True,True,248.0,10,7.495541943884256,5.5134287461649825,True
AUDI,A6 T1.8,2004,1800.0,Automatic,Petrol,231000.0,Nittambuwa,No Leasing,True,True,True,True,16.95,22,7.495541943884256,2.830267833826459,False
AUDI,A6 TFSI,2017,1800.0,Automatic,Petrol,88000.0,Moratuwa,No Leasing,True,True,True,True,256.5,9,7.495541943884256,5.547128664610824,True
AUDI,A8L,2013,3000.0,Automatic,Diesel,132000.0,Maharagama,No Leasing,True,True,True,True,25.0,13,8.006367567650246,3.2188758248682006,True
AUDI,A8L,2013,3000.0,Automatic,Hybrid,132000.0,Colombo,No Leasing,True,True,True,True,25.0,13,8.006367567650246,3.2188758248682006,True
AUSTIN,CAMBRIDGE,1960,1500.0,Manual,Petrol,715000.0,Kuliyapitiya,No Leasing,True,True,False,False,12.75,66,7.313220387090301,2.545531271604435,True
AUSTIN,COOPER S,1998,1300.0,Automatic,Petrol,297000.0,Colombo,No Leasing,True,True,False,False,33.5,28,7.170119543449628,3.5115454388310208,True
AUSTIN,MINI,1960,1300.0,Automatic,Petrol,715000.0,Colombo,No Leasing,False,True,False,False,25.0,66,7.170119543449628,3.2188758248682006,True
AUSTIN,MINI COOPER,1980,1300.0,Manual,Petrol,495000.0,Minuwangoda,No Leasing,True,False,False,False,21.5,46,7.170119543449628,3.068052935133617,True
AUSTIN,MINI COOPER,1969,1300.0,Automatic,Petrol,616000.0,Matara,No Leasing,True,True,True,True,24.9,57,7.170119543449628,3.214867803470662,True
AUSTIN,MINI COOPER,1969,1300.0,Manual,Petrol,616000.0,Gampaha,No Leasing,True,True,False,False,20.5,57,7.170119543449628,3.0204248861443626,True
AUSTIN,MINI COOPER,1997,1300.0,Automatic,Petrol,308000.0,Kadawatha,No Leasing,True,False,False,False,30.0,29,7.170119543449628,3.4011973816621555,False
AUSTIN,MINI COOPER,1995,1300.0,Manual,Petrol,330000.0,Horana,No Leasing,True,False,False,False,26.5,31,7.170119543449628,3.2771447329921766,True
AUSTIN,MINI COOPER,1960,1300.0,Manual,Petrol,715000.0,Mawanella,No Leasing,True,False,False,False,22.95,66,7.170119543449628,3.133317936506554,False
AUSTIN,MINI COOPER,1969,1275.0,Manual,Petrol,616000.0,Ambalangoda,No Leasing,True,False,False,False,21.0,57,7.150701457592526,3.044522437723423,True
AUSTIN,MINI COOPER,1980,1300.0,Manual,Petrol,495000.0,Kandy,No Leasing,True,False,False,False,23.0,46,7.170119543449628,3.1354942159291497,True
AUSTIN,MINI COOPER,1997,1300.0,Automatic,Petrol,308000.0,Kaduwela,No Leasing,True,False,False,False,30.0,29,7.170119543449628,3.4011973816621555,True
AUSTIN,MINI COOPER,1997,1300.0,Automatic,Petrol,308000.0,Kadawatha,No Leasing,True,False,False,False,23.0,29,7.170119543449628,3.1354942159291497,False
AUSTIN,MINI COOPER,1980,1000.0,Manual,Petrol,495000.0,Gampaha,No Leasing,True,False,False,False,21.5,46,6.907755278982137,3.068052935133617,True
AUSTIN,MINI COOPER,1970,1300.0,Manual,Petrol,605000.0,Kandy,No Leasing,True,False,False,False,25.25,56,7.170119543449628,3.228826155721369,True
AUSTIN,MINI COOPER,1969,1300.0,Automatic,Petrol,616000.0,Matara,No Leasing,True,False,False,False,28.5,57,7.170119543449628,3.349904087274605,True
AUSTIN,MORRIS MINI COOPER,1961,1275.0,Manual,Petrol,704000.0,Kandy,No Leasing,True,False,False,False,38.0,65,7.150701457592526,3.6375861597263857,True
BAJAJ,QUTE,2019,1500.0,Manual,Petrol,66000.0,Kurunegala,No Leasing,False,True,False,False,9.75,7,7.313220387090301,2.277267285009756,True
BAJAJ,QUTE,2018,1500.0,Manual,Petrol,77000.0,Nuwara-Eliya,No Leasing,False,True,False,False,10.5,8,7.313220387090301,2.3513752571634776,True
BAJAJ,QUTE,2018,1500.0,Manual,Petrol,77000.0,Nuwara-Eliya,No Leasing,True,True,True,False,10.5,8,7.313220387090301,2.3513752571634776,True
BAJAJ,QUTE,2019,1500.0,Manual,Petrol,66000.0,Colombo,No Leasing,True,False,False,False,13.78125,7,7.313220387090301,2.6233089726471195,True
BAJAJ,QUTE,2019,1500.0,Manual,Petrol,66000.0,Galle,No Leasing,False,False,True,False,12.25,7,7.313220387090301,2.505525936990736,True
BAJAJ,QUTE,2019,1500.0,Manual,Petrol,66000.0,Mullaitivu,No Leasing,False,True,False,False,10.5,7,7.313220387090301,2.3513752571634776,False
BMW,116I,2013,1600.0,Automatic,Petrol,132000.0,Colombo,No Leasing,True,True,True,True,160.0,13,7.3777589082278725,5.075173815233827,True
BMW,316I,2014,1600.0,Automatic,Petrol,121000.0,Dehiwala-Mount-Lavinia,No Leasing,True,True,True,True,169.0,12,7.3777589082278725,5.1298987149230735,True
BMW,316I E30,1990,1600.0,Manual,Petrol,385000.0,Kuliyapitiya,No Leasing,True,True,True,True,39.0,36,7.3777589082278725,3.6635616461296463,True
BMW,316I SPORTS,2015,1600.0,Automatic,Petrol,110000.0,Kottawa,No Leasing,True,True,True,True,178.0,11,7.3777589082278725,5.181783550292085,False
BMW,318I,2017,1500.0,Automatic,Petrol,88000.0,Colombo,No Leasing,True,False,True,True,220.0,9,7.313220387090301,5.393627546352362,True
BMW,318I,2016,1500.0,Automatic,Petrol,99000.0,Colombo,No Leasing,True,True,True,True,205.0,10,7.313220387090301,5.3230099791384085,True
BMW,318I,2018,1500.0,Automatic,Petrol,77000.0,Nugegoda,No Leasing,True,True,True,True,271.25,8,7.313220387090301,5.603040904854669,False
BMW,318I,2016,1500.0,Automatic,Petrol,99000.0,Kandana,No Leasing,True,True,True,True,210.0,10,7.313220387090301,5.3471075307174685,False
BMW,318I LUXURY LINE,2018,1500.0,Automatic,Petrol,77000.0,Colombo,No Leasing,True,True,True,True,218.75,8,7.313220387090301,5.387929525237724,True
BMW,318I M SPORT,2018,1499.0,Automatic,Petrol,77000.0,Colombo,No Leasing,True,True,True,True,250.0,8,7.312553498102598,5.521460917862246,True
BMW,318I M SPORT,2018,1500.0,Automatic,Petrol,77000.0,Kesbewa,No Leasing,True,True,True,True,250.0,8,7.313220387090301,5.521460917862246,True
BMW,318I M SPORT AUSTRALIAN,2018,1500.0,Automatic,Petrol,77000.0,Nugegoda,No Leasing,True,True,True,True,280.0,8,7.313220387090301,5.634789603169249,False
BMW,318I M SPORT SHADOW,2018,1500.0,Automatic,Petrol,77000.0,Boralesgamuwa,No Leasing,True,True,True,True,275.0,8,7.313220387090301,5.616771097666572,True
BMW,318I MSPORT,2017,1500.0,Automatic,Petrol,88000.0,Negombo,No Leasing,True,True,True,True,225.0,9,7.313220387090301,5.41610040220442,True
BMW,318I SHADOW EDITION,2018,1500.0,Automatic,Petrol,77000.0,Moratuwa,No Leasing,True,True,True,True,280.0,8,7.313220387090301,5.634789603169249,True
BMW,320D,2011,2000.0,Automatic,Diesel,154000.0,Colombo,No Leasing,True,True,True,True,295.75,15,7.600902459542082,5.689514502858496,True
BMW,320D,2000,2000.0,Manual,Diesel,275000.0,Kelaniya,No Leasing,True,True,True,True,54.5,26,7.600902459542082,3.9982007016691985,False
BMW,320D,2011,2000.0,Automatic,Diesel,154000.0,Ja-Ela,No Leasing,True,True,True,True,119.5,15,7.600902459542082,4.783316371371566,True
BMW,320D,2013,2000.0,Automatic,Diesel,132000.0,Kurunegala,No Leasing,True,True,True,True,190.0,13,7.600902459542082,5.247024072160486,True
BMW,320D,2013,2000.0,Automatic,Diesel,132000.0,Colombo,No Leasing,True,True,True,True,180.0,13,7.600902459542082,5.19295685089021,True
BMW,320D SPORTS,2013,2000.0,Automatic,Diesel,132000.0,Kandy,No Leasing,True,True,True,True,179.0,13,7.600902459542082,5.187385805840755,True
BMW,320I,2007,1990.0,Automatic,Petrol,198000.0,Gampaha,No Leasing,True,True,True,True,115.0,19,7.595889917718538,4.74493212836325,True
BMW,320I,2007,2000.0,Automatic,Petrol,198000.0,Ja-Ela,No Leasing,True,True,True,True,115.0,19,7.600902459542082,4.74493212836325,True
BMW,320I,2007,2000.0,Automatic,Petrol,198000.0,Galle,No Leasing,True,True,True,True,115.0,19,7.600902459542082,4.74493212836325,True
BMW,320I E90,2007,2000.0,Automatic,Petrol,198000.0,Ja-Ela,No Leasing,True,True,True,True,115.0,19,7.600902459542082,4.74493212836325,True
BMW,320I E90,2007,2000.0,Automatic,Petrol,198000.0,Ja-Ela,No Leasing,True,True,True,True,115.0,19,7.600902459542082,4.74493212836325,True
BMW,320I E90,2010,1997.0,Automatic,Petrol,165000.0,Gampaha,No Leasing,True,True,True,True,123.125,16,7.599401333415815,4.813200099492253,True
BMW,320I E90,2006,2000.0,Manual,Petrol,209000.0,Colombo,No Leasing,True,True,True,True,116.0,20,7.600902459542082,4.7535901911063645,True
BMW,420D,2015,2000.0,Automatic,Diesel,110000.0,Colombo,No Leasing,True,True,True,True,350.0,11,7.600902459542082,5.857933154483459,True
BMW,430I GRAN COUPE,2017,2000.0,Automatic,Petrol,88000.0,Dehiwala-Mount-Lavinia,No Leasing,True,True,True,True,450.0,9,7.600902459542082,6.1092475827643655,True
BMW,520,2012,2000.0,Automatic,Diesel,143000.0,Wennappuwa,No Leasing,True,True,True,True,228.0,14,7.600902459542082,5.429345628954441,False
BMW,520D,2012,1995.0,Automatic,Diesel,143000.0,Gampaha,No Leasing,True,True,True,True,245.0,14,7.598399329323964,5.501258210544727,True
BMW,520D,2012,1995.0,Automatic,Diesel,143000.0,Anuradapura,No Leasing,True,True,True,True,220.0,14,7.598399329323964,5.393627546352362,False
BMW,520D,2012,2000.0,Automatic,Diesel,143000.0,Kuliyapitiya,No Leasing,True,True,True,True,212.0,14,7.600902459542082,5.356586274672012,True
BMW,520D,2013,2000.0,Automatic,Diesel,132000.0,Dehiwala-Mount-Lavinia,No Leasing,True,True,True,True,264.0,13,7.600902459542082,5.575949103146316,True
BMW,520D,2012,1995.0,Automatic,Diesel,143000.0,Malabe,No Leasing,True,True,True,True,225.0,14,7.598399329323964,5.41610040220442,False
BMW,520D,2013,2000.0,Automatic,Diesel,132000.0,Colombo,No Leasing,True,True,True,True,264.0,13,7.600902459542082,5.575949103146316,True
BMW,520D,2015,2000.0,Automatic,Diesel,110000.0,Colombo,No Leasing,True,True,True,True,330.0,11,7.600902459542082,5.799092654460526,True
BMW,520D,2012,2000.0,Automatic,Diesel,143000.0,Wattala,No Leasing,True,True,True,True,198.0,14,7.600902459542082,5.288267030694535,True
BMW,520D,2013,2000.0,Automatic,Diesel,132000.0,Battaramulla,No Leasing,True,True,True,True,258.0,13,7.600902459542082,5.552959584921617,False
BMW,520D,2012,2000.0,Automatic,Diesel,143000.0,Matara,No Leasing,True,True,True,True,220.0,14,7.600902459542082,5.393627546352362,True
BMW,520D,2013,2000.0,Automatic,Diesel,132000.0,Galle,Ongoing Lease,True,True,True,True,270.0,13,7.600902459542082,5.598421958998375,True
BMW,520D 3 OPTION,2013,2000.0,Automatic,Diesel,132000.0,Colombo,No Leasing,True,True,True,True,238.0,13,7.600902459542082,5.472270673671475,True
BMW,520D M SPORT,2015,2000.0,Automatic,Diesel,110000.0,Kandy,No Leasing,True,True,True,True,360.0,11,7.600902459542082,5.886104031450156,True
